row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,matching_text_snippets
3494,26,gemini-1.5-pro,Environmental,Survey mitigation,12,,The Lessee must submit to BOEM a survey mitigation agreement between NMFS and the Lessee. The survey mitigation agreement must describe how the Lessee will mitigate the Project impacts on the 12 NMFS surveys.,True,167,"Page 167: ""...sistent with nmfs and boem survey mitigation strategy actions 1.3.1, 1.3.2, 2.1.1, and 2.1.2 in the noaa fisheries and boem federal survey mitigation implementation strategy - northeast us region, the lessee must submit to boem a survey mitigation agreement between nmfs and the lessee. the survey mitigation agreement must describe how the lessee will mitigate the project impacts on the 12 nmfs surveys. the lessee must conduct activities in accordance with such agreement. if the lessee and nmfs fail to reach a survey mitigation agreement, then the lessee must submit a survey mitigation plan to boem..."""
3497,26,gpt-4o-mini,Technical,Complete set of cable drawing(s),6,months,Submit final as-built reports within 6 months following installation of the export and inter-array cables.,False,,
3517,26,gpt-4o-mini,Technical,Cape Charles to Delaware Bay Shipping Safety Fairway,20,percent,Cable protection measures through the proposed Cape Charles to Delaware Bay Shipping Safety Fairway should not result in more than a 20 percent reduction in the measured water depth above the protection measure.,False,,
3518,26,gpt-4o-mini,Environmental,Marine archaeological resources during construction and operation.,164,feet,The Lessee must comply with protective buffers recommended by the Qualified Marine Archaeologist (QMA) such that all 18 identified marine archaeological resources are provided buffers measuring a distance of no less than 164 feet (50 meters) from the outer edge of magnetic anomalies or acoustic contacts.,False,,
3522,26,gemini-1.5-pro,Technical,"Operational phase, Data collection and reporting",10,minutes,"Data calculated from 10-minute supervisory control and data acquisition data, for all WTGs together in tabular format, including the proportion of time the WTGs were spinning each month, the average rotor speed (monthly revolutions per minute) of spinning WTGs plus 1 standard deviation, and the average pitch angle of blades (degrees relative to rotor plane) plus 1 standard deviation.",False,,
3531,26,gemini-1.5-pro,Spatial,"Anchoring and buoy placement near sensitive habitats, resources, and submerged infrastructure.",0.5,m,"The Lessee must provide to all construction and support vessels the locations where anchoring or buoy placement must be avoided to the extent technically and/or economically practicable or feasible, including sensitive benthic habitats, boulders greater than or equal to 0.5 m, ASLFs, known and potential shipwrecks, potentially significant debris fields, potential hazards, and any related facility installation activities (such as cable, WTG, and OSS installation).",True,91,"Page 91: ""...identified in the mec/uxo desktop study ( section 2 .1) and relative to risks of planned activities; and avoidance of cultural resources, shipwrecks, and aslfs consistent with section 7.1. 5.3.2.1 the lessee must provide to all construction and support vessels the locations where anchoring or buoy placement must be avoided to the extent technically and/or economically practicable or feasible, including sensitive benthic habitats, boulders greater than or equal to 0.5 m, aslfs, known and potential shipwrecks, potentially significant debris fields, potential hazards, and any related facility installation activities (such as cable, wtg, and oss installation). if avoidance and minimization is determined to be infeasible, the plans must describe in detail the rationale for such infeasibility. dynamic positioning systems should be used in these areas instead..."""
3536,26,gemini-1.5-pro,Spatial,"Areas within 500m of sensitive habitats, resources, and submerged infrastructure during construction and operations/maintenance.",500,m,"The Lessee must prepare and implement an Anchoring Plan(s) for all areas where anchoring or buoy placement occurs and jack-up barges are used during construction and operations/maintenance within 1,640 ft (500 m) of habitats, resources, and submerged infrastructure that are sensitive, including sensitive benthic habitats; boulders greater than or equal to 0.5 m; ancient submerged landform features (ASLFs); known and potential shipwrecks; potentially significant debris fields; potential hazards; third-party infrastructure; and any related facility installation activities (such as cable, WTG, and OSS installation).",False,,
3576,26,claude-3-haiku-20240307,Jurisdictional,"Cables, WTGs, and OSS",120,days,"The Lessee must submit the Micrositing Plan(s) to BOEM, NMFS-HESD, and BSEE for a 60-day review, 120 days prior to site preparation activities for cables, WTGs, and OSS(s) within the scope of the plan. The Lessee must resolve all comments on the Micrositing Plan(s) to BOEM's and BSEE's satisfaction prior to implementation of each plan(s).",False,,
3578,26,claude-3-haiku-20240307,Spatial,Entire lease area,"[1, 0.76, 0.47]",nautical miles (nmi),"The Lessee must not adjust approved structure locations in a way that narrows any linear rows and columns oriented north – south to less than 1 nautical miles (nmi) or east to west to less than 0.76 nmi; except the met tower position located on the western edge of the west to east row, which must not be less than 0.47 nmi from the nearest gridded location.",False,,
3594,26,gemini-1.5-pro,Environmental,"Vessel transit, project vessels, and vicinity of project vessels",24,hours,"If unable to report a sighting through the spreadsheet within 24 hours, call the relevant regional hotline (Greater Atlantic Region [Maine through Virginia] Hotline 866-755-6622; Southeast Hotline 877-WHALE-HELP) with the observation information provided.",False,,
3605,26,gpt-4o-mini,Spatial,Offshore wind turbine generator positions,1,nmi,1 nmi (1.9 kilometer) setback from the traffic separation scheme (TSS) from Delaware Bay,False,,
3610,26,gpt-4o-mini,Environmental,Sea turtles (HRG Surveys – visual PSOs),100,meters,100 m,True,"105, 108","Page 105: ""...bow ride) or towed equipment, vessel speed reduction, course alteration, and shutdown are not required. 5.8.4 if a vessel is underway, a pso must monitor a protected species separation distance of 100 m for sea turtles and 500 m or greater for marine mammals visible at the surface, to ensure detection of that animal in time to take necessary measures to avoid striking the animal. if the vessel does..."" | ""...ny distance within the operating vessel’s forward path, the vessel operator must slow down to 4 knots or less and steer away (unless unsafe to do so) until there is a separation distance of at least 100 m, at which time the vessel may resume normal operations. if a sea turtle is sighted within 50 m of the forward path of the operating vessel, the vessel operator must shift to neutral when safe to do s..."" | ""...to do so and then proceed away from the turtle at a speed of 4 knots when the sea turtle is no longer in the forward path of t he vessel. the vessel may resume normal operations after it has passed 100 m from the turtle. 5.8.8.1 vessel operators must avoid transiting through areas of visible jellyfish aggregations or floating sargassum lines or mats. if operational safety prevents avoidance of such...""
Page 108: ""...ne monitored by pam other large w hales (visual and pam monitoring) monopiles -5,250 m 3-m pin piles -1,400 m 1.8-m pin piles -200 m monopiles -2,900 m 3-m pin piles -1,400 m 1.8-m pin piles -100 m sea turtles (visual detection) 250 m 250 m hrg surveys – visual psos narw 500 m 500 m other large w hales 500 m 100 m sea turtles 100 m 100 m note: these are the clearance and shutdown zones i..."" | ""...in piles -200 m monopiles -2,900 m 3-m pin piles -1,400 m 1.8-m pin piles -100 m sea turtles (visual detection) 250 m 250 m hrg surveys – visual psos narw 500 m 500 m other large w hales 500 m 100 m sea turtles 100 m 100 m note: these are the clearance and shutdown zones incorporated into the proposed action; the zones for marine mammals reflect the proposed conditions of the mmpa ita, and th..."" | ""...opiles -2,900 m 3-m pin piles -1,400 m 1.8-m pin piles -100 m sea turtles (visual detection) 250 m 250 m hrg surveys – visual psos narw 500 m 500 m other large w hales 500 m 100 m sea turtles 100 m 100 m note: these are the clearance and shutdown zones incorporated into the proposed action; the zones for marine mammals reflect the proposed conditions of the mmpa ita, and the zones for sea tur..."" | ""...-2,900 m 3-m pin piles -1,400 m 1.8-m pin piles -100 m sea turtles (visual detection) 250 m 250 m hrg surveys – visual psos narw 500 m 500 m other large w hales 500 m 100 m sea turtles 100 m 100 m note: these are the clearance and shutdown zones incorporated into the proposed action; the zones for marine mammals reflect the proposed conditions of the mmpa ita, and the zones for sea turtles r..."""
3621,26,deepseek-chat,Spatial,U.S. Exclusive Economic Zone (EEZ),10,nautical miles,No wind turbines shall be installed within 10 nautical miles of designated shipping lanes.,False,,
3623,26,gpt-4o-mini,Safety,Demonstration of functionality of Lease Area’s Primary SMS,30,days,"The Lessee must demonstrate, to BSEE’s satisfaction, the functionality of the Lease Area’s Primary SMS by providing evidence of such functionality no later than 30 days prior to the scheduled beginning of the relevant activities described in the COP.",False,,
3634,26,gemini-1.5-pro,Technical,Cable laying and post-construction survey,0.5,meters,"Where plows, jets, grapnel runs, or other similar methods are used, the Lessee must complete post-construction geophysical surveys [...] capable of detecting bathymetry changes of 0.5 meters or less to determine the height and width of any created berms.",False,,
3642,26,gemini-1.5-pro,Environmental,Prevention of marine debris release,30,days,The Lessee must take steps to prevent similar releases of marine debris and must submit a description of these preventative actions to BSEE within 30 days from the date on which the release of marine debris occurred.,False,,
3649,26,gpt-4o-mini,Technical,Met tower pin pile foundations,1.8,meters,Met towers pin piles must be no larger than 1.8 m in diameter.,False,,
3659,26,gemini-1.5-pro,Environmental,Survey vessels involved in offshore wind farm activities,16,,"If survey staff are unable to contact the hotline, then survey staff must contact the USCG via very high frequency (VHF) marine radio on Channel 16.",False,,
3695,26,deepseek-chat,Technical,Fixed-bottom turbines in North Atlantic lease areas,50,year return period,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,False,,
3696,26,claude-3-haiku-20240307,Jurisdictional,Offshore wind farm projects,100,Percent,"The Lessee must ensure the reserve amount allows for, at a minimum, 100 percent of annual revenue exposure allocated to the Project during the projected post-COP approval pre-construction and construction years and, pending BSEE approval of the decommissioning plan, decommissioning years.",False,,
3704,26,gemini-1.5-pro,Jurisdictional,Reporting Timeline,1,Day of the month,"The Lessee must submit these reports by April 1 of each year for the previous calendar year (i.e., the 2026 report is due by April 1, 2027).",True,123,"Page 123: ""...nd route), repair and maintenance activities, survey acti vity, and all observations of esa- listed species. the lessee must submit the annual reports to boem, bsee, nmfs - opr, and nmfs garfo-prd. the lessee must submit these reports by april 1 of each year for the previous calendar year (i.e., the 2026 report is due by april 1, 2027). boem and bsee (in consultation with nmfs) may approve changes to the frequency and timing of reports. 5.14 other protected species conditions . on june 18, 2024, nmfs issued a biop, including an it..."""
3745,26,gemini-1.5-pro,Environmental,Lease Area,12,months,The Lessee must submit a comprehensive report after each full year of post-construction monitoring within 12 months of completion of the survey season.,False,,
3748,26,deepseek-chat,Spatial,North Sea designated shipping routes,500,meters,Wind farms must maintain a minimum distance of 500 meters from shipping lanes.,False,,
3761,26,gpt-4o-mini,Jurisdictional,Offshore seabed-disturbing activities requiring anchoring,60,days,"If there are fewer than 120 days between anchoring activities and this COP approval, the Lessee must submit the plan as soon as practicable and no later than 60 days prior to commencing activities.",True,92,"Page 92: ""..., whichever is earlier. the lessee must resolve all comments on the anchoring plan to boem’s and bsee’s satisfaction before conducting any ocs seabed- disturbing activities that require anchoring. if there are fewer than 120 days between anchoring activities and this cop approval, the lessee must submit the plan as soon as practicable and no later than 60 days prior to commencing activities. the lessee must provide the final version of each anchoring plan to boem, bsee, nmfs garfo- hesd, and usace. 5.3.3 micrositing plan(s) . the lessee must prepare and implement a micrositing plan(s..."""
3776,26,gemini-1.5-pro,Environmental,Offshore wind farm project,48,hours,"The Lessee must report within 48 hours all observations or collections of injured or dead whales, sea turtles, or sturgeon to BSEE, NMFS-OPR, and NMFS GARFO-PRD, including observations and interactions during the fisheries surveys.",False,,
3788,26,gemini-1.5-pro,Financial,Lease OCS-A 0490,94000,USD,Maintain supplemental financial assurance,False,,
3799,26,gemini-1.5-pro,Environmental,Survey vessels involved in offshore wind farm activities,8667556622,,"For sea turtles that appear injured, sick, distressed, or dead (including stranded or entangled individuals), survey staff must immediately contact the Greater Atlantic Region Marine Animal Hotline at 866-755-6622 for further instructions and guidance on handling, retention, and/or disposal of the animal.",False,,
3813,26,claude-3-haiku-20240307,Spatial,"Impact Pile-Driving for WTG, OSS, and Met Tower Foundation Installation","[2900, 1400, 200, 10000]",meters,"Minimum visibility zone from each PSO platform (pile-driving vessel and at least two PSO vessels): Monopiles - 2,900 m; 3-m pin piles - 1,400 m; 1.8-m pin piles - 200 m; and PAM monitoring out to 10,000 m",False,,
3815,26,gpt-4o-mini,Jurisdictional,Project operation phase,45,days,The Lessee must provide written notice to the DON at least 45 days in advance of the intended use of any material vendor not previously screened.,False,,
3817,26,gemini-1.5-pro,Environmental,"Micrositing of cables, offshore substations (OSSs), and wind turbine generators (WTGs)",0.5,m,"For cables, OSSs, and/or WTGs that cannot be microsited to avoid impacts to sensitive benthic habitat or boulders greater than or equal to 0.5 m in diameter, the micrositing plan must identify technically and/or economically practicable or feasible impact minimization measures and use the following prioritized list [of complex habitat sub-types] to avoid during micrositing: complex habitats with high density large boulders, complex habitats with medium density large boulders, complex habitats with low density large boulders, complex with scattered large boulders, and complex habitats with no large boulders.",False,,
3824,26,claude-3-haiku-20240307,Technical,Offshore wind farm construction activities,80,Percent,PSOs or any PAM operators serving as PSOs must have completed a commercial PSO training program for the Atlantic with an overall examination score of 80 percent or greater.,False,,
3841,26,gemini-1.5-pro,Safety,Critical safety systems,5,business days,"If BSEE has not responded to the submitted documentation within 5 business days, the Lessee may presume concurrence and continue operating.",False,,
3859,26,gemini-1.5-pro,Spatial,Project Easements on the OCS,200,ft,"Prior to the implementation of the Renewable Energy Modernization Rule, easements [were] limited to 200 ft in width.",False,,
3860,26,gemini-1.5-pro,Technical,"Planning phase, Passive Acoustic Monitoring Plan Submission",120,days,"No later than 120 days prior to instrument deployment and before any construction begins, the Lessee must submit to BOEM and BSEE (renewable_reporting@boem.gov; renewableenergyoperations@bsee.gov and TIMSWeb) the Long-term PAM Plan that describes all proposed equipment (including number and configuration of instruments), deployment locations, mooring design, detection review methodology, and other procedures and protocols related to the required use of PAM.",False,,
3866,26,gemini-1.5-pro,Safety,Offshore wind farm operation,80000,USD,"Contribute funds ($80,000) toward the execution of the RAM for each affected radar",True,160,"Page 160: ""...notify norad 30-60 days ahead of project completion and when the project is complete and operational for radar adverse impact management (ram) scheduling; contribute funds ($80,000) toward the execution of the ram for each affected radar; curtail activities for national security of defense purposes as described in the leasing agreement. additionally, don requested the following conditions: require the developer to coordinate prio..."""
3869,26,gemini-1.5-pro,Jurisdictional,Direct compensation program reporting,31,Day of the month,"The Lessee must request that the Administrator(s) submit the required notification by January 31 of each year, beginning on the second anniversary of the Project’s Commercial Operations Date as defined by Addendum “B” of the Lease.",True,128,"Page 128: ""...am(s) has been established and is processing claims. notification can be accomplished by the administrator(s) transmitting to boem an annual financial statement of the direct compensation program(s). the lessee must request that the administrator(s) submit the required notification by january 31 of each year, beginning on the second anniversary of the project’s commercial operations date as defined by addendum “b” of the lease. the lessee must request that the notification be signed by the administrator(s). 6.2 fisheries gear loss compensation . the lessee must maintain throughout the life of the project, a fisheries gea..."""
3871,26,gemini-1.5-pro,Safety,Vessel operation during offshore wind farm activities,500,meters,"If stationary, the vessel must not engage engines until the large whale has moved beyond 500 m.",True,105,"Page 105: ""...e forward path of a vessel, the vessel operator must reduce speed and shift the engine to neutral. engines must not be engaged until the whale has moved outside of the vessel’s path and beyond 500 m. if stationary, the vessel must not engage engines until the large whale has moved beyond 500 m. 5.8.8 vessel strike avoidance of sea turtles. if a sea turtle or manta ray is sighted at any distance within the operating vessel’s forward path, the vessel operator must slow down to 4 knots or le..."""
3884,26,gpt-4o-mini,Safety,Foundation installation phase.,120,days,"The Lessee must provide a lighting, marking, and signaling plan for review by BOEM, BSEE, and the USCG, and obtain concurrence by BOEM and BSEE at least 120 days before foundation installation.",False,,
3913,26,gpt-4o-mini,Safety,Operational phase,500,meters,A minimum separation distance of 500 m from all ESA-listed whales (including unidentified large whales) must be maintained around all surface vessels at all times.,False,,
3917,26,gpt-4o-mini,Environmental,Other large whales (shutdown zone),2900,meters,"Monopiles - 2,900 m 3-m pin piles - 1,400 m 1.8-m pin piles - 100 m",False,,
3949,26,deepseek-chat,Technical,North Sea installations,50,year return period,Turbine foundations must withstand 1-in-50-year extreme wave conditions,False,,
3953,26,gpt-4o-mini,Technical,Edge scour stability during the operational phase.,10,percent,The Lessee must submit a plan for additional monitoring and/or mitigation to BSEE for review and concurrence if edge scour develops within 10 percent of the maximum allowance.,False,,
3965,26,claude-3-haiku-20240307,Technical,Offshore wind farm construction and decommissioning activities,90,days,"The Lessee must provide as-placed anchor plats to BOEM and BSEE within 90 days of completion of an activity (including during operations and decommissioning) or construction of a major facility component (e.g., buoys, export cables, WTGs or OSSs, inter-array cables, etc.) or decommissioning to demonstrate that seafloor-disturbing activities complied with avoidance requirements for seafloor features and hazards, archaeological resources, and/or anomalies.",False,,
3973,26,gemini-1.5-pro,Environmental,"Operational Phase, Avian Protection",60,business days,"Within 60 business days of BOEM’s issuance of the final Collision Minimization Report, the Lessee must participate in a meeting to discuss the report with BOEM, BSEE, USFWS, and appropriate state agencies.",True,90,"Page 90: ""...wtgs. the review must be worldwide and include both offshore and onshore wtgs. this review will inform boem’s collision minimization report, consistent with term and condition 1b of the usfws biop. within 60 business days of boem’s issuance of the final collision minimization report, the lessee must participate in a meeting to discuss the report with boem, bsee, usfws, and appropriate state agencies. 5.2.8 compensatory mitigation for piping plover, red knot, and roseate tern. at least 180 days prior to the start of commissioning of the first wtg, the lessee must distribute a compensatory mit..."""
3986,26,gpt-4o-mini,Environmental,NARW (HRG Surveys – visual PSOs),500,meters,500 m,True,"64, 91, 105, 106, 108, 113","Page 64: ""...s for each active, in -service submarine cable or other types of in -use infrastructure, such as pipelines, to boem at least 60 business days before seabed preparation activities which occur within 500 m of such infrastructure, including boulder clearance. the lessee must also provide information on cable crossing agreements which have not been finalized, including draft agreements and communication..."" | ""...hat it will be unable to reach a cable crossing agreement, the lessee must inform boem as soon as possible, and no later than 60 business days before seabed preparation activities which occur within 500 m of the in- use infrastructu re, including boulder clearance. a cable crossing agreement will not be required if boem has determined —at its sole discretion and based on its review of the record of...""
Page 91: ""...see must prepare and implement an anchoring plan(s) for all areas where anchoring or buoy placement occurs and jack-up barges are used during construction and operations/maintenance within 1,640 ft (500 m) of habitats, resources, and submerged infrastructure that are sensitive, including sensitive benthic habitats; boulders greater than or equal to 0.5 m; ancient submerged landform features (aslfs); k...""
Page 105: ""...ent, vessel speed reduction, course alteration, and shutdown are not required. 5.8.4 if a vessel is underway, a pso must monitor a protected species separation distance of 100 m for sea turtles and 500 m or greater for marine mammals visible at the surface, to ensure detection of that animal in time to take necessary measures to avoid striking the animal. if the vessel does not require a pso for the..."" | ""...e animal. if the vessel does not require a pso for the type of activity being conducted, the vessel may use crew as a trained lookout to meet this requirement. 5.8.5 a minimum separation distance of 500 m from all esa -listed whales (including unidentified large whales) must be maintained around all surface vessels at all times. 5.8.6 if a large whale is identified within 500 m of the forward path o..."" | ""...eparation distance of 500 m from all esa -listed whales (including unidentified large whales) must be maintained around all surface vessels at all times. 5.8.6 if a large whale is identified within 500 m of the forward path of any vessel, the vessel operator must steer a course away from the whale at 10 knots (18.5 km/hr) or less until the 500 m minimum separation distance has been established. vesse..."" | ""...all times. 5.8.6 if a large whale is identified within 500 m of the forward path of any vessel, the vessel operator must steer a course away from the whale at 10 knots (18.5 km/hr) or less until the 500 m minimum separation distance has been established. vessels may also s hift to idle if feasible. 5.8.7 if a large whale is sighted within 200 m of the forward path of a vessel, the vessel operator mus..."" | ""...m of the forward path of a vessel, the vessel operator must reduce speed and shift the engine to neutral. engines must not be engaged until the whale has moved outside of the vessel’s path and beyond 500 m. if stationary, the vessel must not engage engines until the large whale has moved beyond 500 m. 5.8.8 vessel strike avoidance of sea turtles. if a sea turtle or manta ray is sighted at any distanc..."" | ""...neutral. engines must not be engaged until the whale has moved outside of the vessel’s path and beyond 500 m. if stationary, the vessel must not engage engines until the large whale has moved beyond 500 m. 5.8.8 vessel strike avoidance of sea turtles. if a sea turtle or manta ray is sighted at any distance within the operating vessel’s forward path, the vessel operator must slow down to 4 knots or l...""
Page 106: ""...arine mammals or sea turtle s, consistent with identified requirements. 5.8.9.1 all vessels must have a visual observer on board who is responsible for monitoring the vessel strike avoidance zone (500 m) for marine mammals and sea turtles. visual observers may be pso or crew members, but the lessee must provide crew members responsible for these duties sufficient training to distinguish marine mam..."" | ""...g. vessel transits to and from the project area that require psos will maintain a speed commensurate with weather conditions and effectively detecting sea turtles prior t o reaching the 1,640- feet (500 m) avoidance measure. any designated crew lookouts must receive training on protected species identification, vessel strike minimization procedures, how and when to communicate with the vessel captain,...""
Page 108: ""...,250 m 3-m pin piles -1,400 m 1.8-m pin piles -200 m monopiles -2,900 m 3-m pin piles -1,400 m 1.8-m pin piles -100 m sea turtles (visual detection) 250 m 250 m hrg surveys – visual psos narw 500 m 500 m other large w hales 500 m 100 m sea turtles 100 m 100 m note: these are the clearance and shutdown zones incorporated into the proposed action; the zones for marine mammals reflect the prop..."" | ""...3-m pin piles -1,400 m 1.8-m pin piles -200 m monopiles -2,900 m 3-m pin piles -1,400 m 1.8-m pin piles -100 m sea turtles (visual detection) 250 m 250 m hrg surveys – visual psos narw 500 m 500 m other large w hales 500 m 100 m sea turtles 100 m 100 m note: these are the clearance and shutdown zones incorporated into the proposed action; the zones for marine mammals reflect the proposed c..."" | ""....8-m pin piles -200 m monopiles -2,900 m 3-m pin piles -1,400 m 1.8-m pin piles -100 m sea turtles (visual detection) 250 m 250 m hrg surveys – visual psos narw 500 m 500 m other large w hales 500 m 100 m sea turtles 100 m 100 m note: these are the clearance and shutdown zones incorporated into the proposed action; the zones for marine mammals reflect the proposed conditions of the mmpa ita,...""
Page 113: ""...fields from project activities, pso coverage is sufficient to reliably monitor the expanded clearance and/or shutdown zones. additional observers must be deployed on additional platforms for every 1,500 m that a clearance or shutdown zone is expanded beyond the initial clearance and shutdown zones (table 5.10-1; section 5.10). in the event that the clearance or shutdown zone for protected species n..."""
3991,26,gemini-1.5-pro,Technical,Boulder relocation reporting,60,days,The Lessee must submit the report within 60 days of completion of the boulder relocation activities and prior to or with the relevant FIR.,False,,
4021,26,gpt-4o-mini,Safety,Seabed disturbance during all phases of wind farm development.,24,hours,"If any vessel conducting work on behalf of the Lessee or any other activity associated with planning, construction, operation, or decommissioning disturbs the seabed within the avoidance areas, the Lessee must submit an incident report to BOEM and BSEE within 24 hours.",False,,
4049,26,gemini-1.5-pro,Technical,Offshore wind farm operation (noise mitigation),10,dB,"Expansion of the zones will be reconsidered after additional sound attenuation measures are in place that reduce distances to at or below those modeled assuming 10 dB, as verified by SFV.",True,113,"Page 113: ""...needs to be expanded, the lessee must submit a proposed monitoring plan for the expanded zones to boem and bsee, who will coordinate with nmfs -opr and nmfs- garfo-prd prior to granting approval. expansion of the zones will be reconsidered after additional sound attenuation measures are in place that reduce distances to at or below those modeled assuming 10 db, as verified by sfv. 5.12 project design criteria and best management practices for protected species . the lessee must comply with all applicable measures identified in appendix a of the june 18, 2024, nmfs biop. the..."""
4071,26,gpt-4o-mini,Jurisdictional,Lease auction for Maryland WEA,8701098,USD,BOEM has determined that the high bid resulting from the lease auction and lease terms provides a fair return to the United States.,False,,
4073,26,gpt-4o-mini,Technical,Alternative Monitoring Plan for HRG surveys,60,days,The Lessee must submit the AMP 60 days before survey operations are set to begin.,False,,
4077,26,gemini-1.5-pro,Jurisdictional,Offshore wind farm operation,45,days,"Within 45 days of completing the requirements in Sections 4.4.1 through 4.4.3, the Lessee must provide BOEM with evidence of compliance with those requirements.",False,,
4081,26,gemini-1.5-pro,Environmental,"Offshore wind energy development in the northeast region, impacting 12 NMFS scientific surveys",12,Surveys,The Lessee must submit to BOEM a survey mitigation agreement between NMFS and the Lessee. The survey mitigation agreement must describe how the Lessee will mitigate the Project's impacts on the twelve NMFS surveys.,False,,
4088,26,gemini-1.5-pro,Safety,PATONs,14,days,Immediately report discrepancies in the status of all PATONs to the local USCG Sector Command Center (a timeline of when discrepancies can be resolved must be sent to USCG within 14 days of identifying the discrepancy).,True,76,"Page 76: ""...ion to bsee no later than january 31 of each calendar year for all facilities installed within the preceding calendar year, of the lessee’s compliance with sections 3.1.1.1 through 3.1.1.4. 3.1.1.6 immediately report discrepancies in the status of all patons to the local uscg sector command center (a timeline of when discrepancies can be resolved must be sent to uscg within 14 days of identifying the discrepancy). 3.1.2 blade/nacelle control . the lessee must equip all wtg rotors (blade assemblies) with control mechanisms constantly operable from the lessee’s control center. 3.1.2.1 control mechanisms must..."""
4121,26,gemini-1.5-pro,Environmental,HRG Surveys,100,m,Maintain a 100 m shutdown zone for sea turtles during HRG surveys.,False,,
4122,26,gemini-1.5-pro,Environmental,HRG Surveys,100,m,Maintain a 100 m clearance zone for sea turtles during HRG surveys.,False,,
4130,26,gpt-4o-mini,Financial,Lease OCS-A 0490,100000,USD,"US Wind has provided and currently maintains Bond No. 09275795 to cover $100,000 lease-specific financial assurance requirement.",False,,
4145,26,deepseek-chat,Technical,All offshore installations,70,m/s,Wind turbines must withstand extreme wind speeds of up to 70 m/s,False,,
4167,26,gpt-4o-mini,Safety,Lease Area Primary SMS audits,3,years,"The Lessee must conduct periodic Lease Area Primary SMS audits and provide BSEE with a report summarizing the results of the most recent audit at least once every 3 years, and upon BSEE’s request.",True,56,"Page 56: ""...tionality of the lease area’s primary sms by providing evidence of such functionality no later than 30 days prior to the scheduled beginning of the relevant activities described in the cop. 2.10.5 the lessee must conduct periodic lease area primary sms audits and provide bsee with a report summarizing the results of the most recent audit at least once every 3 years, and upon bsee’s request. the report must include any corrective actions implemented or being implemented as a result of that audit, and an updated description of the lease area’s primary sms highlighting changes that were m..."""
4175,26,gemini-1.5-pro,Technical,Changes to DOFS and acoustic monitoring device information,30,days,The Lessee must provide DON with notice of the intent to change this information at least 30 days prior to any change.,False,,
4178,26,gpt-4o-mini,Jurisdictional,Offshore seabed-disturbing activities requiring anchoring,120,days,"The Lessee must provide the proposed Anchoring Plan to BOEM and BSEE, for the agencies’ 60-day review... at least 120 days before anchoring activities or at least 120 days before construction begins for export and interarray cables, whichever is earlier.",False,,
4180,26,gpt-4o-mini,Safety,Pile driving activities,9,PSOs,"The Lessee must use NMFS-approved PSOs and PAM operators to monitor the identified clearance and shutdown zones before, during, and after all foundation installation activities.",False,,
4184,26,gpt-4o-mini,Reporting,Reporting of incidental take,24,hours,The Lessee must report to BOEM and BSEE within 24 hours of confirmation any take of an ESA-listed species.,False,,
4198,26,gemini-1.5-pro,Environmental,"Fisheries surveys, Sea turtle and sturgeon handling",15,minutes,"Handling times for these species must be minimized (i.e., kept to 15 minutes or less) to limit the amount of stress placed on the animals.",True,101,"Page 101: ""...nimal(s). 5.6.5.3.1 to the extent allowed by sea conditions, the lessee must give priority to the handling and resuscitation of any sea turtles or sturgeon that are captured in the gear being used. handling times for these species must be minimized (i.e., kept to 15 minutes or less) to limit the amount of stress placed on the animals. 5.6.5.3.2 all survey vessels must be equipped with copies of the sea turtle handling and resuscitation requirements found at 50 c.f.r. § 223.206(d)(1) prior to the commencement of any on- water ac..."""
4222,26,gemini-1.5-pro,Safety,Offshore wind facilities handling or storing oil,100,gallons,The OSRP must include a safety data sheet for every type of oil present on any OCS facility in quantities equal to or greater than 100 gallons.,False,,
4226,26,gpt-4o-mini,Safety,Operational phase,1,month,"If the surveillance records or Conformity Statement and supporting documentation are not submitted within a month of qualified third-party verification of the commissioning of the safety systems or if BSEE objects to the submission, BSEE may require the facility to cease operations.",False,,
4237,26,gemini-1.5-pro,Technical,Monopile and jacket foundation installation,3,,An interim report is required for each of the first three monopiles and pile driven jacket foundations installed and any additional piles for which SFV is required.,False,,
4242,26,deepseek-chat,Technical,All offshore structures,100,years,Wind turbine foundations must withstand a 100-year storm event,False,,
4247,26,gpt-4o-mini,Technical,Wind Turbine Generators (WTGs),50,years,WTGs are designed to withstand a 50-year return interval event.,False,,
4262,26,gemini-1.5-pro,Environmental,Fisheries monitoring surveys,24,hours,All lost gear must also be reported to NMFS GARFO-PRD and BSEE within 24 hours of the documented time when gear is discovered to be missing or lost.,False,,
4270,26,deepseek-chat,Spatial,German Bight area,1,kilometers,Wind farms must maintain a 1km buffer zone from designated shipping lanes,False,,
4276,26,gemini-1.5-pro,Technical,Boulder relocation plan,0.5,m,The plan(s) must include multibeam backscatter data and boulder (greater than or equal to 0.5 m in diameter) data layers to inform the siting of boulders and areas for relocation.,True,94,"Page 94: ""...ide for relocation of boulders as closely as practicable to the original location, in areas of soft bottom that are immediately adjacent to existing similar habitat from which the boulder originated. the plan(s) must include multibeam backscatter data and boulder (greater than or equal to 0.5 m in diameter) data layers to inform the siting of boulders and areas for relocation. 13 sensitive benthic habitats include complex habitat, benthic features, and bathymetric features . complex habitat is defined as coarse unconsolidated mineral substrates (i.e., substrates containi..."""
