model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name,value2,unit2
deepseek,deepseek-chat,12,C-005,Environmental Mitigation,Low order incineration is preferred over high order detonations for UXO disposal.,,,2.4,Lease areas,"If disposal is necessary, after demonstrating that avoidance through micrositing is not feasible, low order incineration is preferred over high order detonations.",Substation Foundations,,
deepseek,deepseek-chat,13,C-001,Environmental Mitigation,Primary foraging habitat for seaducks is in waters less than 20 meters deep.,20.0,meters,8.4.4(F)(1),Ocean SAMP boundary with water depths less than 20 m,Figure 8.39 in § 8.4.4(F)(1) of this Part illustrates the areas within the Ocean SAMP boundary with water depths less than 20 m (66 feet) and therefore is thought to represent the primary foraging habitat for the thousands of seaducks that winter in the Ocean SAMP waters.,Offshore Wind Energy Facility,,
deepseek,deepseek-chat,13,C-002,Environmental Mitigation,Common eiders forage in water less than 10 meters deep during winter.,10.0,meters,8.4.4(F)(1),Ocean SAMP boundary with water depths less than 10 m,"Common eiders forage in water less than 10 m (33 feet) during the winter when diving over rocky substrate and kelp beds (Goudie et al . 2000; Guillemette et al ., 1993).",Offshore Wind Energy Facility,,
deepseek,deepseek-chat,13,C-003,Environmental Mitigation,Scoters forage in water less than 20 meters deep during winter.,20.0,meters,8.4.4(F)(1),Ocean SAMP boundary with water depths less than 20 m,"Maximum diving depths of scoters are about 25 m (82 feet), although most birds probably forage in water less than 20 meters (66 feet) deep, particularly during the winter months (Vaitkus and Bubinas 2001; Bordage and Savard 1995).",Offshore Wind Energy Facility,,
deepseek,deepseek-chat,13,C-004,Design Specification,Geotechnical survey must include sampling locations and laboratory testing of soil samples.,,,8.5.2(F),Proposed facility site,The applicant shall provide information to depths below which the underlying conditions shall not influence the integrity or performance of the structure. This could include a series of sampling locations (borings and in situ tests) as well as laboratory testing of soil samples.,Geotechnical Survey,,
deepseek,deepseek-chat,13,C-005,Environmental Mitigation,"Biological survey must include descriptions of live bottoms, hard bottoms, and topographic features.",,,8.5.2(F),Proposed facility site,"A description of the results of a biological survey, including descriptions of the presence of live bottoms; hard bottoms; topographic features; and surveys of other marine resources such as fish populations (including migratory populations) not targeted by commercial or recreational fishing, marine mammals, sea turtles, and sea birds.",Biological Survey,,
deepseek,deepseek-chat,13,C-006,Regulatory Requirement,Archaeological survey must comply with the National Historic Preservation Act and Antiquities Act.,,,8.5.2(F),Proposed facility site,"A description of the historic and prehistoric archaeological resources, as required by the National Historic Preservation Act and Antiquities Act (16 U.S.C. § 470 et. seq.), as amended, the Rhode Island Historical Preservation Act and Antiquities Act and §§ 00-1.2.3 and 00-1.3.5 of this Chapter, as applicable.",Archaeological Survey,,
deepseek,deepseek-chat,14,C-001,Design Specification,The Met Buoy measures 19.7 ft long by 10.2 ft wide with a vertical profile of approximately 13.8 ft from the sea surface to the top of the hull mast.,19.7,ft,3.1,Met Buoy Installation Area,The NOMAD hull consists of marine grade aluminum and measures 19.7 ft (6 m) long by 10.2 ft (3.1 m) wide. The vertical profile of the Met Buoy including instrumentation will be approximately 13.8 ft (4.2 m) from the sea surface to the top of the hull mast.,AXYS FLiDAR 6M Meteorological Buoy,,
deepseek,deepseek-chat,14,C-002,Design Specification,The anchors weigh a total of up to 10 metric tons and sit on the seabed for an area of up to 108 ft².,10.0,metric tons,3.1,Met Buoy Installation Area,The anchors would weigh a total of up to 10 metric tons and sit on the seabed for an area of up to 108 ft [2] (10 m [2] ).,Mooring System,,
deepseek,deepseek-chat,14,C-003,Design Specification,The anchor chain sweep associated with the long-term operation of the Met Buoy is anticipated to be approximately 12 acres.,12.0,acres,3.1,Met Buoy Installation Area,The area of the anchor chain sweep associated with the long-term operation of the Met Buoy is anticipated to be approximately 12 acres (based on an anchor chain radius of approximately 410 ft (125 m) on the sea floor.,Mooring System,,
deepseek,deepseek-chat,14,C-004,Operational Parameter,The operational life of the Met Buoy is anticipated to be 6 years.,6.0,years,3.2,Met Buoy Installation Area,The operational life of the Met Buoy is anticipated to be 6 years.,AXYS FLiDAR 6M Meteorological Buoy,,
deepseek,deepseek-chat,14,C-005,Environmental Mitigation,Vessels must maintain a separation distance of 500 m or greater from any sighted North Atlantic right whale(s).,500.0,m,4.4,Met Buoy Installation Area,"The Lessee must ensure all vessels maintain a separation distance of 500 m (1,640 ft) or greater from any sighted North Atlantic right whale(s).",AXYS FLiDAR 6M Meteorological Buoy,,
deepseek,deepseek-chat,14,C-006,Environmental Mitigation,Vessels must maintain a separation distance of 100 m or greater from any sighted non-delphinoid cetacean(s) other than a North Atlantic right whale.,100.0,m,4.4,Met Buoy Installation Area,The Lessee must ensure all vessels maintain a separation distance of 100 m (328 ft) or greater from any sighted non-delphinoid cetacean(s) other than a North Atlantic right whale.,AXYS FLiDAR 6M Meteorological Buoy,,
deepseek,deepseek-chat,14,C-007,Environmental Mitigation,Vessels must maintain a separation distance of 50 m or greater from any sighted delphinoid cetacean(s).,50.0,m,4.4,Met Buoy Installation Area,The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean(s).,AXYS FLiDAR 6M Meteorological Buoy,,
deepseek,deepseek-chat,14,C-008,Environmental Mitigation,Vessels must maintain a separation distance of 50 m or greater from any sighted sea turtle(s).,50.0,m,4.4,Met Buoy Installation Area,The Lessee must ensure all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted sea turtle(s).,AXYS FLiDAR 6M Meteorological Buoy,,
deepseek,deepseek-chat,14,C-009,Operational Parameter,The Met Buoy will carry approximately 225 gallons of diesel to provide fuel for the backup generator.,225.0,gallons,4.6,Met Buoy Installation Area,The Met Buoy will carry approximately 225 gallons of diesel to provide fuel for the backup generator.,AXYS FLiDAR 6M Meteorological Buoy,,
deepseek,deepseek-chat,14,C-010,Operational Parameter,The Met Buoy is capable of operating at full capacity without renewable power or backup generator supply to the batteries for up to one week.,1.0,week,5.4,Met Buoy Installation Area,The Met Buoy is capable of operating at full capacity without renewable power or backup generator supply to the batteries for up to one week.,AXYS FLiDAR 6M Meteorological Buoy,,
deepseek,deepseek-chat,15,C-001,Environmental Mitigation,Pile driving activities are restricted between January 1 and April 30 to protect North Atlantic right whales and spawning Atlantic cod.,,,5.5.6,Lease Area,BOEM intends to require a restriction on all pile driving between January 1 and April 30.,Wind Turbine Generators,,
deepseek,deepseek-chat,15,C-002,Environmental Mitigation,Monitoring for North Atlantic right whales must be conducted continuously at least 30 days before pile installation starts and for at least 3 to 10 full calendar years of operations.,,,5.5.6,Lease Area,"The Lessee must conduct continuous recording at least 30 days before the start of pile installation, through pile installation, initial operation, and for at least 3 but no more than 10 full calendar years of operations to monitor for potential impacts.",Wind Turbine Generators,,
deepseek,deepseek-chat,15,C-003,Safety Standard,Clearance and shutdown zones for pile driving activities are defined for different species and seasons.,,,5.10.5,Lease Area,The clearance and shutdown zones for May to November are defined in the table below (numbers in parentheses are distances for December).,Wind Turbine Generators,,
deepseek,deepseek-chat,15,C-004,Environmental Mitigation,Boulder relocation must avoid or minimize impacts to sensitive benthic habitats and relocate boulders as close as practicable to the original location.,,,5.6.6,Lease Area,"The plan must detail how the Lessee will avoid or minimize impacts to sensitive benthic habitats and relocate boulders as close as practicable to the original location, in areas of soft bottom but immediately adjacent to similar habitat.",Wind Turbine Generators,,
deepseek,deepseek-chat,15,C-005,Environmental Mitigation,Horizontal directional drill (HDD) boring must be used for cable installation at a depth of 45 to 60 feet below the ocean bottom.,,,2.4,Export Cable Corridor,The conduit will be installed by horizontal directional drill (HDD) boring at a depth of forty-five to sixty (45-60) feet below the ocean bottom.,Export Cable,,
deepseek,deepseek-chat,16,C-001,Design Specification,Maximum number of WTGs for Project 1 is between 105 and 136,136.0,units,3.1,Project 1 area,"The Atlantic Shores South Project would include up to 200 total WTGs (between 105 and 136 WTGs for Project 1, and between 64 and 95 WTGs for Project 2)",Wind Turbine Generators,,
deepseek,deepseek-chat,16,C-002,Design Specification,Maximum hub height restriction for Project 1 WTGs,522.0,feet,3.1,Project 1 area,The remaining turbines in Project 1 would be restricted to a maximum hub height of 522 ft (159 m) above mean sea level (AMSL),Wind Turbine Generators,,
deepseek,deepseek-chat,16,C-003,Environmental Mitigation,Minimum setback requirement between Atlantic Shores South and Ocean Wind 1 WTGs,0.81,nautical miles,3.1,Boundary between Lease Areas OCS-A 0499 and OCS-A 0498,"provide a minimum 0.81-nautical-mile (1,500-meter) setback between the WTGs in Atlantic Shores South and the WTGs in Ocean Wind 1 (Lease Area OCS-A 0498)",Wind Turbine Generators,,
deepseek,deepseek-chat,16,C-004,Environmental Mitigation,Buffer zone around NMFS-identified Areas of Concern,1000.0,feet,3.1,NMFS-identified AOC 1 and AOC 2,"microsite up to 29 WTGs, 1 OSS, and associated interarray cables outside of the 1,000 foot (305-meter) buffer of the ridge and swale features within the NMFS-identified AOC 1 and AOC 2",Wind Turbine Generators,,
deepseek,deepseek-chat,16,C-005,Environmental Mitigation,Removal of WTG near Fish Haven artificial reef,200.0,feet,3.1,Atlantic City Artificial Reef Site,the removal of a single turbine approximately 150 to 200 feet (45.8 to 61 meters) from the observed Fish Haven (Atlantic City Artificial Reef Site),Wind Turbine Generators,,
deepseek,deepseek-chat,16,C-006,Operational Parameter,"Vessel speed restriction when jellyfish, sargassum, or sea turtles are present",10.0,knots,5.9.11.9,Project area,"All vessels must reduce speed to 10 knots or less when large aggregations of jellyfish, sargassum, and/or sea turtles are observed",Project Vessels,,
deepseek,deepseek-chat,16,C-007,Design Specification,Grid spacing requirements for WTG placement,0.6,nautical miles,3.1,Lease Area,No microsited permanent structures would be placed in a way that narrows any linear rows and columns to fewer than 0.6 nautical mile (1.1 kilometers) by 1.0 nautical mile (1.9 kilometers),Wind Turbine Generators,,
deepseek,deepseek-chat,16,C-008,Safety Standard,Clearance zone for sea turtles during pile-driving,250.0,meters,5.11,Pile-driving locations,Sea Turtles (visual detection) | 250 m | 250 m,Wind Turbine Generators,,
deepseek,deepseek-chat,16,C-009,Safety Standard,Shutdown zone for North Atlantic Right Whales during pile-driving,1900.0,meters,5.11,Pile-driving locations,"NARW (visual and PAM monitoring) | At any distance (Minimum visibility zone (1,900 m) plus any additional distance observable by the visual PSOs on all PSO platforms); At any distance within the 10,000 m monitoring zone monitored by PAM | At any distance (Minimum visibility zone (1,900 m) plus any additional distance observable by the visual PSOs on all PSO platforms); At any distance within the 10,000 m monitoring zone monitored by PAM",Wind Turbine Generators,,
deepseek,deepseek-chat,17,C-001,Design Specification,WindSentinel™ hull dimensions,20.7,ft,3.1,N/A,"The hull consists of marine-grade 5086 aluminum and measures 20.7 feet (ft) (6.3 meters [m]) long by 10.5 ft (3.2 m) wide and weighs 15,000 pounds (lbs) (6,818 kilograms [kg]) (bare hull weight).",WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,17,C-002,Design Specification,WindSentinel™ vertical profile height,13.5,ft,3.1,N/A,"The vertical profile of the WindSentinel™, including instrumentation, will be approximately 13.5 ft (4.1 m) from the sea surface to the top of the hull mast.",WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,17,C-003,Design Specification,WindSentinel™ submerged portion depth,8.5,ft,3.1,N/A,The submerged portion of the hull would measure approximately 8.5 ft (2.6 m) below the sea surface from the water line to the bottom of the mooring yoke.,WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,17,C-004,Design Specification,TRIAXYS Buoy dimensions,3.6,ft,3.1,N/A,The TRIAXYS Buoy is a 3.6 ft (1.1 m) round buoy that measures directional waves & currents as well as water temperature.,TRIAXYS Wave and Current Buoy,,
deepseek,deepseek-chat,17,C-005,Design Specification,TRIAXYS Buoy vertical profile height,1.8,ft,3.1,N/A,The vertical profile of the TRIAXYS Buoy will be approximately 1.8 ft (0.55 m) from the sea surface to the top of the buoy.,TRIAXYS Wave and Current Buoy,,
deepseek,deepseek-chat,17,C-006,Design Specification,TRIAXYS Buoy submerged portion depth,1.8,ft,3.1,N/A,The submerged portion of the buoy hull would measure approximately 1.8 ft (0.55 m) below the sea surface from the waterline to the bottom of the buoy.,TRIAXYS Wave and Current Buoy,,
deepseek,deepseek-chat,17,C-007,Operational Parameter,WindSentinel™ operational lifespan,2.0,years,3.2,N/A,"The operational lives of the WindSentinel™ and TRIAXYS Buoy are expected to be two and four years, respectively.",WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,17,C-008,Operational Parameter,TRIAXYS Buoy operational lifespan,4.0,years,3.2,N/A,"The operational lives of the WindSentinel™ and TRIAXYS Buoy are expected to be two and four years, respectively.",TRIAXYS Wave and Current Buoy,,
deepseek,deepseek-chat,17,C-009,Environmental Mitigation,Separation distance from North Atlantic right whales,500.0,m,4.4,Lease Area,"The Lessee must ensure all survey vessels maintain a separation distance of 500 m (1,640 ft) or greater from any sighted North Atlantic right whale.",WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,17,C-010,Environmental Mitigation,Separation distance from non-delphinoid cetaceans,100.0,m,4.4,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 100 m (328 ft) or greater from any sighted non-delphinoid cetacean.,WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,17,C-011,Environmental Mitigation,Separation distance from delphinoid cetaceans,50.0,m,4.4,Lease Area,The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean.,WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,17,C-012,Environmental Mitigation,Separation distance from sea turtles and pinnipeds,50.0,m,4.4,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted sea turtle or pinniped.,WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,17,C-013,Operational Parameter,Vessel speed restriction from November 1 through July 31,10.0,knots,4.4,Lease Area,"In addition, the Lessee must ensure that all vessels operating from November 1 through July 31 will operate at speeds of 10 knots (<18.5 km/hr) or less.",WindSentinel™ FLIDAR,,
deepseek,deepseek-chat,19,C-001,Design Specification,Hub height of the WTG ranges from 341 to 364 ft (104 to 111 m).,341.0,ft,Revised Table 3.2-1,WTG locations,Hub height (from mean sea level [MSL]) 341-364 ft (104-111 m),Wind Turbine Generator,,
deepseek,deepseek-chat,19,C-002,Design Specification,Rotor diameter of the WTG is 505 ft (154 m).,505.0,ft,Revised Table 3.2-1,WTG locations,Rotor diameter 505 ft (154 m),Wind Turbine Generator,,
deepseek,deepseek-chat,19,C-003,Operational Parameter,Operational cut-in wind speed is 6.7 mph (3 m/s).,6.7,mph,Revised Table 3.2-1,WTG locations,Operational Cut-in Wind Speed/Cut-Out Wind Speed 6.7 mph (3 m/s) / 56 mph (25 m/s),Wind Turbine Generator,,
deepseek,deepseek-chat,19,C-004,Operational Parameter,Operational cut-out wind speed is 56 mph (25 m/s).,56.0,mph,Revised Table 3.2-1,WTG locations,Operational Cut-in Wind Speed/Cut-Out Wind Speed 6.7 mph (3 m/s) / 56 mph (25 m/s),Wind Turbine Generator,,
deepseek,deepseek-chat,19,C-005,Design Specification,Export Cable will be located within a 200-ft (61-m) wide right-of-way.,200.0,ft,Section 3.3.4.3,Export Cable route,"As approved in the RAP, the Export Cable will be located within a 200-ft (61-m) wide right-of-way (ROW).",Export Cable,,
deepseek,deepseek-chat,19,C-006,Design Specification,Target depth of burial for the Export Cable is approximately 6.6 ft (2 m).,6.6,ft,Section 3.3.4.3,Export Cable route,"The target depth of burial for the Export Cable remains approximately 6.6 ft (2 m), as previously approved in the RAP.",Export Cable,,
deepseek,deepseek-chat,19,C-007,Design Specification,Onshore Interconnection Cable will be installed in separate boreholes approximately 3 ft (0.9 m) apart.,3.0,ft,Section 3.1.2,Onshore Interconnection Cable route,The Onshore Interconnection Cable and Fiber Optic Cable will be installed in separate boreholes approximately 3 ft (0.9 m) apart.,Onshore Interconnection Cable,,
deepseek,deepseek-chat,19,C-008,Design Specification,Onshore Interconnection Cable will be buried to a minimum depth of 3.3 ft (1 m).,3.3,ft,Section 3.1.2,Onshore Interconnection Cable route,The Onshore Interconnection Cable and Fiber Optic Cable will be installed in separate boreholes approximately 3 ft (0.9 m) apart and buried to a minimum depth of 3.3 ft (1 m) to be consistent with local utility standards.,Onshore Interconnection Cable,,
deepseek,deepseek-chat,19,C-009,Design Specification,Wave buoy diameter will be 1.6 to 4.9 ft (0.5 to 1.5 m).,1.6,ft,Section 1.1,Deployment location,"Depending on the selected buoy type, its diameter will be 1.6 to 4.9 ft (0.5 to 1.5 m).",Wave and Current Buoy,,
deepseek,deepseek-chat,19,C-010,Operational Parameter,Wave buoy will be deployed for less than 1 year.,1.0,year,Section 1.1,Deployment location,The buoy will be temporarily deployed within the area that has been previously surveyed and evaluated in support of the Project. The buoy will remain in place for less than 1 year.,Wave and Current Buoy,,
deepseek,deepseek-chat,2,C-001,Operational Parameter,Must submit a SAP before conducting site assessment activities on a commercial lease.,,,585.600,Commercial lease area,"Before you conduct any site assessment activities on your commercial lease, you must submit a SAP, according to §§ 585.605 through 585.613.",Site Assessment Plan (SAP),,
deepseek,deepseek-chat,2,C-002,Operational Parameter,Must submit a COP before conducting construction activities for commercial operations on a commercial lease.,,,585.600,Commercial lease area,"Before you conduct any activities pertaining to construction of facilities for commercial operations on your commercial lease, you must submit a COP, according to §§ 585.620 through 585.628.",Construction and Operations Plan (COP),,
deepseek,deepseek-chat,2,C-003,Operational Parameter,"Must submit a GAP before conducting activities on a limited lease, ROW grant, or RUE grant.",,,585.600,"Limited lease, ROW grant, or RUE grant area","Before you conduct any activities on your limited lease, ROW grant, or RUE grant in any OCS area, you must submit a GAP, according to §§ 585.640 through 585.648.",General Activities Plan (GAP),,
deepseek,deepseek-chat,2,C-004,Design Specification,Facility Design Report must include location plat with specific coordinates.,,,285.701,Facility location,"Your plat must be drawn to a scale of 1 inch equals 100 feet and include the coordinates of the lease, ROW grant, or RUE grant block boundary lines.",Facility Design Report,,
deepseek,deepseek-chat,2,C-005,Design Specification,Fabrication and Installation Report must include a schedule of fabrication and installation activities.,,,285.702,Facility location,"Your Fabrication and Installation Report must describe how your facilities will be fabricated and installed in accordance with the design criteria identified in the Facility Design Report; your BOEM-approved SAP, COP, or GAP; and generally accepted industry standards and practices.",Fabrication and Installation Report,,
deepseek,deepseek-chat,20,C-001,Design Specification,WTGs must be spaced in a 0.93 by 0.75 nautical mile offset grid pattern.,0.93,nautical miles,3.1,Lease Area,Dominion would space WTGs in a 0.93- by 0.75-nautical-mile offset grid pattern (east–west by northwest by southeast gridded layout).,Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-002,Environmental Mitigation,WTGs can be microsited up to 500 feet to avoid sensitive cultural resources and marine habitats.,500.0,feet,3.1,Lease Area,This configuration would still allow micrositing of WTGs (up to 500 feet) to avoid sensitive cultural resources and marine habitats.,Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-003,Environmental Mitigation,WTGs must avoid the Fish Haven area and proposed vessel traffic fairway.,,,3.1,Fish Haven area and northwest corner of Lease Area,"However, under Alternative B, the Fish Haven area located along the northern boundary of the Lease Area would be an exclusion zone (e.g., eight WTGs and associated infrastructure would not be developed or placed in the Fish Haven area). Additionally, three WTGs and associated inter-array cables would be excluded from the northwest corner of the Lease Area to avoid a proposed vessel traffic fairway.",Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-004,Environmental Mitigation,WTGs must avoid sand ridge habitat by micrositing or relocation.,,,3.1,Sand ridge habitat within Lease Area,"Alternative C would also avoid sand ridge habitat by a combination of: micrositing WTGs, inter-array cables or OSSs (up to 500 feet); the removal of four WTGs within priority sand ridge habitat, and the relocation of one WTG.",Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-005,Environmental Mitigation,"Export cables must avoid steep slopes, complex habitat, and boulders greater than or equal to 0.5 meters in diameter.",0.5,meters,5.7.3,Lease Area,"The Lessee must prepare and implement a Micrositing Plan that describes how WTG locations, OSS locations, inter-array, and export cable routes will be microsited to avoid or minimize impacts to steep slopes with gradients greater than or equal to 10 degrees, complex habitat, boulders greater than or equal to 0.5 meters in diameter and confirmed MEC/UXO.",Export Cables,,
deepseek,deepseek-chat,20,C-006,Safety Standard,"PSOs and PAM operators must be used before, during, and after all foundation installation activities.",,,5.12.4,Lease Area,"The Lessee must use PSOs and PAM operators before, during, and after all foundation installation activities.",Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-007,Safety Standard,Clearance zone for NARW during impact pile driving is any distance observable by PSOs.,,,5.12.5,Lease Area,NARW – visual detection: Minimum visibility zone plus any additional distance observable by the visual PSOs,Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-008,Safety Standard,Shutdown zone for NARW during impact pile driving is any distance observable by PSOs.,,,5.12.5,Lease Area,NARW – visual detection: Minimum visibility zone plus any additional distance observable by the visual PSOs,Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-009,Safety Standard,"Clearance zone for fin, sei, and sperm whales during impact pile driving is 5,100 meters.",5100.0,meters,5.12.5,Lease Area,"Fin, Sei, and Sperm Whale – WTG: 5,100",Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-010,Safety Standard,"Shutdown zone for fin, sei, and sperm whales during impact pile driving is 1,750 meters.",1750.0,meters,5.12.5,Lease Area,"Fin, Sei, and Sperm Whale – WTG: 1,750",Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-011,Safety Standard,"Clearance zone for sea turtles during impact pile driving is 1,000 meters.",1000.0,meters,5.12.5,Lease Area,"Sea Turtles: 1,000",Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-012,Safety Standard,Shutdown zone for sea turtles during impact pile driving is 500 meters.,500.0,meters,5.12.5,Lease Area,Sea Turtles: 500,Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-013,Safety Standard,Clearance zone for NARW during HRG surveys is 500 meters.,500.0,meters,5.13.2,Lease Area,NARW – visual detections: 500,Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-014,Safety Standard,Shutdown zone for NARW during HRG surveys is 500 meters.,500.0,meters,5.13.2,Lease Area,NARW – visual detections: 500,Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-015,Safety Standard,"Clearance zone for fin, sei, and sperm whales during HRG surveys is 500 meters.",500.0,meters,5.13.2,Lease Area,"Fin, sei, and sperm whale: 500",Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-016,Safety Standard,"Shutdown zone for fin, sei, and sperm whales during HRG surveys is 500 meters.",500.0,meters,5.13.2,Lease Area,"Fin, sei, and sperm whale: 500",Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-017,Safety Standard,Clearance zone for sea turtles during HRG surveys is 500 meters.,500.0,meters,5.13.2,Lease Area,Sea Turtles: 500,Wind Turbine Generators,,
deepseek,deepseek-chat,20,C-018,Safety Standard,Shutdown zone for sea turtles during HRG surveys is 100 meters.,100.0,meters,5.13.2,Lease Area,Sea Turtles: 100,Wind Turbine Generators,,
deepseek,deepseek-chat,21,C-001,Environmental Mitigation,No surface occupancy in the northernmost portion of the Project area to reduce visual impacts and potential conflicts with existing ocean uses.,,,Table 3 - 1,Northernmost portion of the proposed Project area,"Under Alternative C, the No Surface Occupancy in the Northernmost Portion of the Project Area Alternative, the construction, operation, maintenance, and eventual decommissioning of an up to 800 MW wind energy facility on the OCS offshore Massachusetts within the proposed Project area and associated export cables would occur within the range of the design parameters outlined in the Vineyard Wind COP, subject to applicable mitigation measures. However, no surface occupancy would occur in the northernmost portion of the proposed Project area to potentially reduce the visual impacts of the proposed Project and potential conflicts with existing ocean uses, such as, marine navigation and commercial fishing. This alternative would result in the exclusion of approximately six of the northernmost WTG locations.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-002,Design Specification,WTGs must have a minimum spacing of 1 nautical mile between them.,1.0,nmi,Table 3 - 1,Wind Development Area,"Under Alternative D1, WTGs would have a minimum spacing of 1 nmi between them, and the lanes between turbines would also be a minimum of 1 nmi to potentially reduce conflicts with existing ocean uses, such as commercial fishing and marine navigation.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-003,Design Specification,WTGs must be arranged in an east-west orientation with a minimum spacing of 1 nautical mile between them in the east-west direction.,1.0,nmi,Table 3 - 1,Wind Development Area,"Under Alternative D2, the wind turbine layout would be arranged in an east-west orientation and all WTGs in the east-west direction would have a minimum spacing of 1 nmi between them to allow for vessels to travel in an unobstructed path between rows of turbines in an east-west direction.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-004,Environmental Mitigation,The proposed Project would consist of no more than 84 WTGs to reduce impacts on existing ocean uses and environmental resources.,84.0,WTGs,Table 3 - 1,Proposed Project area,"Under Alternative E, the Reduced Project Size Alternative, the construction, operation, maintenance, and eventual decommissioning of a large-scale commercial wind energy facility on the OCS offshore Massachusetts within the proposed Project area and associated export cables would occur within the range of the design parameters outlined in the Vineyard Wind COP, subject to applicable mitigation measures, with the following exception: the proposed Project would consist of no more than 84 WTGs in order to potentially reduce impacts on existing ocean uses and environmental resources.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-005,Environmental Mitigation,A vessel transit lane through the WDA would be established in which no surface occupancy would occur.,,,Table 3 - 1,Wind Development Area,"Under Alternative F, a vessel transit lane through the WDA would be established in which no surface occupancy would occur. The lane included in this alternative, and not included in other alternatives, could potentially facilitate transit of vessels through the project area from southern New England ports—primarily New Bedford—to fishing areas on Georges Bank. WTG locations displaced by the transit lane would not be eliminated from consideration but are assumed to move the proposed Project south of the WDA.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-006,Environmental Mitigation,Install bird deterrent devices to minimize bird attraction to operating turbines and on the ESP(s).,,,Table A-1,WTGs and ESPs,"Install bird deterrent devices to minimize bird attraction to operating turbines and on the ESP(s), where appropriate and where Vineyard Wind determines such devices can be employed safely.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-007,Environmental Mitigation,Use FAA-approved ADLS to reduce nighttime visual impacts.,,,Table A-1,WTGs,"Require use of FAA-approved-ADLS, which will only activate the FAA hazard lighting when an aircraft is in the vicinity of the wind facility, to reduce the visibility of nighttime lighting and thus reduce nighttime visual impacts.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-008,Design Specification,Paint the WTGs off-white/light grey (no lighter than RAL 9010 Pure White and no darker than RAL 7035 Light Grey).,,,Table A-1,WTGs,Require Vineyard Wind to paint the WTGs off-white/light grey (no lighter than RAL 9010 Pure White and no darker than RAL 7035 Light Grey) to reduce visual impacts during daylight hours on historic properties. Vineyard Wind has already committed to this measure as part of the NHPA Section 106 process.,Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-009,Safety Standard,Equip all WTG rotors with control mechanisms operable from the Vineyard Wind control centers available 24/7.,,,Table A-1,WTGs,"Equip all WTG rotors (blade assemblies) with control mechanisms operable from the Vineyard Wind control centers available 24 hours a day, 7 days a week. The control mechanisms shall enable control room operators to shut down the requested WTGs within an agreed upon time of notification between the USCG and Vineyard Wind.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-010,Safety Standard,Install mooring attachments and access ladders on each WTG for use in emergencies.,,,Table A-1,WTGs,Mooring attachments (for securing vessels) and access ladders for use in emergencies shall be placed on each WTG. Plans for the design and placement of access ladders shall be submitted for USCG review and BOEM approval.,Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-011,Environmental Mitigation,Non-HDD cable laying operations in the northern part of the offshore export cable area within Nantucket Sound waters will occur outside of April to June.,,,Table A-1,Northern part of the offshore export cable area within Nantucket Sound waters,The non-HDD cable laying operations in the northern part of the offshore export cable area within Nantucket Sound waters will occur outside of April to June.,Export Cables,,
